"","site","sr","Habitat_type","longs","lats","mfd.obs","ses_mfd","p_value","perc_tree_500","perc_grass_500","perc_urb_500"
"59","l9qwa",5,"Roof",-79.411099,43.654398,0.459548437439039,0.602959834420322,0.7014,9.81907795931788,13.152605423213,77.0283166174691
"60","LeJL9",4,"Roof",-79.40692,43.665397,0.267777298712912,-1.21666486210068,0.1214,23.5342842728065,14.0040820070632,62.4616337201303
"61","lm8Vb",4,"Roof",-79.394589,43.647675,0.503772713441141,1.03626917526567,0.8724,6.61641456515816,4.8061829167932,88.5774025180486
"62","LqLKT",5,"Garden",-79.397226,43.779792,0.367584771478982,-0.268604035850832,0.3306,40.5112486535046,20.24519171022,39.1186892414731
"63","lvTbU",6,"Park",-79.366545,43.684714,0.407424078421144,0.107686985581083,0.4708,50.3139639424271,26.6883882090555,22.9976478485173
"64","Lwe2a",4,"Garden",-79.499345,43.599638,0.250028255955486,-1.37702945331646,0.0988,24.3035822760394,19.1018975151793,55.7070842294062
"65","LXbGC",5,"Garden",-79.475274,43.655197,0.509877999448833,1.10176924413859,0.8812,44.1405857694535,13.5719261365695,42.165825391781
"66","LYkor",9,"Garden",-79.328172,43.704026,0.399626082420449,0.0342931234606565,0.4408,63.4326778348777,18.2572565842583,18.3100655808641
"67","m1Tjg",7,"Garden",-79.422529,43.661942,0.230328557444018,-1.60154196660406,0.073,16.7926487069974,22.4248949690713,59.995355416218
"68","m9rCB",4,"Park",-79.301671,43.697165,0.310898078602899,-0.813597752959076,0.1818,44.2666951595433,19.6194091518997,36.113895688557
"69","mngaK",2,"Roof",-79.393464,43.646068,0.0634229250938155,-3.11376711495898,0.0078,2.86980942865295,4.32118304519636,92.8090075261507
"70","MR9ay",6,"Garden",-79.318068,43.744922,0.244035104956481,-1.40488414586951,0.0994,34.6912786517184,20.6531289437384,44.4074120271182
"71","N0NrL",5,"Garden",-79.43082,43.698008,0.492177557309833,0.911907397846974,0.8174,38.6433377826093,19.2225692963264,42.0076325723695
"72","nj3Tv",9,"Park",-79.459602,43.652127,0.404927274480989,0.0732238593598468,0.453,61.8328811924913,12.4993034835951,25.6678153239135
"73","nSPob",4,"Park",-79.226539,43.715551,0.316515876323027,-0.756450765739588,0.194,56.8522720625604,20.0272114218082,14.9184986770326
"74","NTp7f",4,"Roof",-79.427165,43.635537,0.170624374947912,-2.17378424120031,0.0386,13.604046706889,18.8643527333624,67.4169897455897
"75","oemYW",6,"Garden",-79.388104,43.718698,0.437946115239244,0.406661956719317,0.6184,65.2370523025619,13.6368472268462,21.1261004705919
"76","ov9ky",10,"Park",-79.198579,43.780568,0.57205873783579,1.67403319839645,0.9842,71.3780751280843,15.6838433396149,12.7712590542371
"77","OxeKC",8,"Garden",-79.373587,43.683403,0.419909025332551,0.256926742486704,0.5442,66.5933855289472,15.3152533449996,17.9525488582955
"78","p4hhS",4,"Park",-79.371031,43.729088,0.254186598270573,-1.39855672772841,0.0976,76.8651968293531,13.5217354246764,9.55008788155915
"79","P4Wxh",6,"Garden",-79.341228,43.673507,0.308488256052017,-0.849842809666194,0.1724,30.8903935267453,19.1821760793153,49.5706126342194
"80","P5vps",11,"Park",-79.468104,43.647068,0.51378739794911,1.11712061851376,0.8896,73.122212488733,14.8553845613861,11.5983868082134
"81","P9Lc3",9,"Garden",-79.429518,43.684187,0.489589372283081,0.873312685460229,0.82,30.4593186144816,17.6858740023362,51.7859689819025
"82","phL7O",6,"Park",-79.506589,43.663629,0.425671671904707,0.263859904384052,0.5464,47.2483723227623,23.1171568643874,29.5464041770388
"83","Q19Ql",7,"Garden",-79.402779,43.759497,0.486014871715161,0.862408700137681,0.8062,39.1021542610522,16.3488095838703,44.5490361550774
"84","Q1kCz",12,"Park",-79.357431,43.734283,0.514329832817503,1.11345721541007,0.8884,58.3431199326504,15.4061664531757,26.2507136141739
"85","Q2diL",5,"Garden",-79.415636,43.647781,0.368153664132347,-0.264146696194716,0.3326,16.8976823530491,21.1130116570213,61.4844588335641
"86","QiOKk",10,"Garden",-79.416581,43.728516,0.508570038698813,1.07597247593276,0.8766,40.3320288317175,11.6858061847501,47.9821649835325
"87","QKrAU",8,"Park",-79.466988,43.784293,0.392936585379458,-0.0462149071479055,0.4062,25.3538898347084,25.8962995062185,46.4920824854863
"88","qKZQ3",5,"Garden",-79.46341,43.661947,0.425424595778368,0.269907338460501,0.5472,32.8549108053907,15.1594377430845,51.9856514515248
"89","QM7IH",8,"Garden",-79.307161,43.692936,0.410239572188595,0.132736379026175,0.4808,31.1533318414275,17.9515705365725,50.895097622
"90","QMw74",2,"Roof",-79.372069,43.666064,0.246591549295775,-1.4620515541299,0.0852,21.8952827316654,16.2050172490032,61.8997000193314
"91","QVf8L",4,"Park",-79.468735,43.648423,0.499415492957746,0.982737133995947,0.8512,71.7862116016326,13.0830406013938,14.7177975480307
"92","QYeyE",6,"Park",-79.46248,43.771079,0.378184489209423,-0.166807888525849,0.3564,39.6763138463959,34.3510794985291,24.6697970286856
"93","r2ykG",5,"Garden",-79.362334,43.776127,0.217726922424656,-1.70695408526385,0.0688,51.4350004461477,15.725664956511,32.8393345973413
"94","RYvED",6,"Park",-79.379041,43.729088,0.266156471724322,-1.26635915865412,0.1124,69.1830916590103,10.8878104953738,19.5654499614542
"95","rZ0ul",5,"Garden",-79.402496,43.741312,0.35022411939377,-0.44094531330171,0.2716,66.7510943264704,8.71829090166998,24.5306147718596
"96","SAk6r",7,"Garden",-79.457455,43.658471,0.399627941250356,0.0137318633407535,0.4346,29.9256059405095,16.0319680117936,53.659325785764
"97","sS0ji",8,"Roof",-79.3642,43.66613,0.353229763103643,-0.402785324777517,0.2856,40.4416124383909,18.7487265151028,40.2214257523886
"98","SVCEa",3,"Park",-79.42195,43.66393,0.34778921431312,-0.467607959076461,0.2608,15.4898875517419,22.6714195617189,61.0833002081151
"99","TbUBp",2,"Garden",-79.437009,43.681518,0.0546021999767198,-3.27154919701763,0.0066,20.6098604610207,17.8486158463374,61.514648703534
"100","To1zd",9,"Community",-79.359048,43.734052,0.48967174475424,0.86966306802529,0.807,59.6865828621819,15.6164773640627,24.6969397737554
"101","trOmx",11,"Garden",-79.402135,43.729048,0.482060994223227,0.807353312932386,0.7858,44.7339217141122,9.2504886104021,46.0155896754857
"102","TrRF4",11,"Garden",-79.507508,43.639187,0.535108492134476,1.29262571206513,0.9298,36.6922687062293,27.6516771102101,35.6560541835606
"103","TUJhp",8,"Park",-79.43208,43.656705,0.274706301276534,-1.15438595417326,0.1274,25.3808233249414,18.0074472524499,56.4824572264488
"104","twed3",3,"Garden",-79.433319,43.680842,0.17698047735161,-2.12976662520706,0.041,25.9275429581948,16.6372084832231,57.3806278582999
"105","U3mPy",6,"Park",-79.380662,43.727064,0.452175994925079,0.521298500209514,0.673,62.6135682088402,12.3754759207176,24.6747311050814
"106","U5Lyc",6,"Park",-79.525874,43.602368,0.434931820841949,0.345036875624733,0.5966,15.1448891204294,18.9500973142728,65.2757268303063
"107","uijTr",4,"Roof",-79.358336,43.734052,0.360910992112006,-0.328769032315375,0.302,59.6590901262165,15.5510218891274,24.7898879846562
"108","uISKe",10,"Garden",-79.320933,43.681928,0.469975058171851,0.719408829135983,0.7578,31.7971350652078,15.8342287114397,52.3184675345758
"109","uIvCn",9,"Garden",-79.344076,43.680841,0.363973271385328,-0.317702589240406,0.3042,26.1828910881282,14.587190167349,59.1648923510526
"110","UizNm",3,"Garden",-79.44395,43.673577,0.420623043818466,0.242159789076234,0.5302,12.4354194798333,17.4497666294839,69.762418907415
"111","UtY7R",11,"Garden",-79.511313,43.694826,0.476312841927599,0.764366844611123,0.772,37.7389205622886,25.451454996305,36.4703878166038
"112","v8EUT",7,"Garden",-79.296359,43.68358,0.447738127016934,0.489065049102473,0.6466,26.541784509947,18.836427641436,54.2490308455503
"113","vDe7G",6,"Garden",-79.523356,43.67922,0.567879759900016,1.64849251365026,0.979,45.7186656563006,25.2555424876655,28.7147923826229
"114","VF2Pq",6,"Garden",-79.434195,43.671282,0.477710075557512,0.791325021741787,0.7842,12.6599628920025,16.8746463229973,70.2864542969062
"115","vLXXi",2,"Roof",-79.38457,43.66125,0.0131240062597809,-3.68668112782553,0.0012,6.14191139212619,7.33010582127147,86.5279827866023
"116","vnlxz",5,"Park",-79.509251,43.664418,0.434779663351576,0.384035001433544,0.6004,58.3932637371515,22.5999257954615,18.9421838289252
"117","VNQ0u",8,"Garden",-79.351547,43.673467,0.346358115435424,-0.478374943784515,0.2664,36.2003969073916,23.9264812166929,39.5076217790304
"118","vtkfe",5,"Park",-79.254155,43.696763,0.367510175692604,-0.267818051910432,0.3262,37.5329395398297,33.0599357597034,27.5751837257915
"119","w4NX6",9,"Park",-79.45697,43.643704,0.465880745901188,0.664163773250192,0.7232,60.9795227166381,16.1027893521097,22.9176879312522
"120","WfPqj",5,"Community",-79.43187,43.640617,0.288426285523794,-1.04639965290396,0.1426,16.1908006939308,15.5679047390629,68.0433234385984
"121","wiATg",4,"Community",-79.428284,43.686392,0.144864708113431,-2.43095746894948,0.029,33.1479779664654,19.4815277464419,47.301662420277
"122","WJHmh",13,"Park",-79.366564,43.683969,0.480697480081381,0.798509457091498,0.7832,50.106148549819,26.7811829830298,23.1126684671512
"123","wk3yD",6,"Garden",-79.430908,43.636688,0.504690309283814,1.03689002324292,0.8674,20.0489308193986,19.2378662530083,60.7132029275931
"124","x6lwo",4,"Park",-79.43208,43.656705,0.461045452772034,0.624220256423173,0.714,25.3808233249414,18.0074472524499,56.4824572264488
"125","xomGl",7,"Community",-79.402302,43.639597,0.421985428194165,0.259670663643994,0.5416,6.51032644903398,15.7878196145099,77.3974591651543
"126","XvuFi",6,"Park",-79.325937,43.632304,0.272521206495761,-1.15769673744211,0.129,31.6574709062209,40.5015682274474,0
"127","YFmep",6,"Park",-79.19914,43.774686,0.471188550314639,0.713663810752963,0.7528,69.7738874098332,14.9879951781147,14.0672849716165
"128","YgefT",10,"Garden",-79.427657,43.655885,0.449783346917633,0.525794243895197,0.6736,27.4941577213462,19.0034558408112,53.333263018101
"129","yjMQ9",5,"Garden",-79.433089,43.668602,0.47477540137947,0.761059611583602,0.7688,12.1359227753193,18.8137940522321,68.6850709650792
"130","yLOw6",8,"Garden",-79.4561,43.66026,0.496731995168504,0.977515176697718,0.8518,27.8186174956158,16.3805744608492,54.9749568922589
"131","yOqkX",4,"Garden",-79.446435,43.6511,0.4725630948385,0.740754796034722,0.7654,17.923049161278,18.1716918756383,63.1936326920687
"132","Z4sxV",3,"Garden",-79.308092,43.679882,0.241401824093057,-1.47315133684831,0.0888,45.8036877350702,16.4136317769012,37.7201174204202
"133","zAo4O",7,"Garden",-79.3187,43.756158,0.361886583705458,-0.336208841549024,0.3064,33.1146119580327,22.0685478876406,44.8168401543268
"134","zAXNf",9,"Garden",-79.44611,43.676736,0.409219645386702,0.110942922020474,0.4718,10.7595012170583,16.845526233246,72.3428325632329
"135","zIOo4",3,"Roof",-79.395517,43.660003,0.263019474873935,-1.2469405073196,0.1162,13.2456866861661,19.4151631634606,67.3391501503733
"136","zUUAk",8,"Garden",-79.429956,43.673431,0.339777351397698,-0.511128186608274,0.25,19.8510006736428,16.9567213177902,62.9339183493597
