"","Megachile_centuncularis","Megachile_rotundata","Trypoxylon_frigidum","Ancistrocerus_antilope","Osmia_pumila","Passaloecus_gracilis","Trypoxylon_collinum","Euodynerus_foraminatus","Hylaeus_annulatus","Megachile_campanulae","Megachile_pugnata","Osmia_caerulescens","Heriades_carinata","Hylaeus_affinis","Auplopus_mellipes","Megachile_relativa","Symmorphus_cristatus","Hylaeus_modestus","Psenulus_pallipes","Ancistrocerus_gazella","Isodontia_mexicana","Passaloecus_cuspidatus","Symmorphus_canadensis","Trypoxylon_lactitarse","Osmia_lignaria","Ancistrocerus_adiabatus","Euodynerus_planitarsis","Megachile_frigida","Hylaeus_verticalis","Hylaeus_mesillae","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Megachile_mendica","Dipogon_sayi","Megachile_inermis","Heriades_variolosa","Osmia_atriventris","Anthidium_manicatum","Chelostoma_rapunculi","Hoplitis_producta","Passaloecus_monilicornis","Hoplitis_spoliata","Hoplitis_truncata","Monobia_quadridrens","Symmorphus_albomarginatus","Symmorphus_bifasciatus","Chelostoma_campanularum","Megachile_brevis","Anthophora_terminalis","Megachile_sculpturalis"
"BQDxR",0,11,0,0,0,0,45,2,2,10,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BW4HD",4,0,45,0,0,0,51,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAgNl",0,0,17,0,0,0,18,0,0,0,0,0,0,0,9,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cEVoL",0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cFdUw",0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ci7F8",0,0,0,0,0,0,41,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1rgw",0,0,27,0,5,0,0,0,0,0,0,143,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D8Tvb",0,0,27,0,9,0,17,0,0,0,0,59,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ8Sw",16,0,82,0,0,0,5,6,0,0,0,46,18,0,0,0,0,0,6,0,0,41,36,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dqrON",0,25,28,0,0,0,0,0,0,10,19,45,51,10,0,0,0,10,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E3dsm",0,0,0,30,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e8Lju",0,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eLGzd",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enp7x",0,0,0,0,0,0,20,39,0,0,0,11,0,0,0,0,0,0,0,0,0,0,70,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ErRUg",0,73,25,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eTUNR",0,0,0,18,0,0,22,0,0,0,0,0,0,0,15,0,60,0,0,0,0,0,44,0,43,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fJPzr",0,0,13,12,23,0,3,0,0,8,0,12,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fLwK1",0,2,0,0,0,0,48,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,61,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fn6iP",0,0,24,0,45,0,2,0,0,17,0,0,0,0,0,0,38,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fqMOZ",0,0,9,0,73,0,27,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FTl5s",55,4,25,0,183,7,36,0,0,1,0,0,0,20,0,0,0,10,13,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gbEGj",0,0,4,0,32,0,24,0,0,0,0,20,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDWGB",0,0,3,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ggYQS",0,0,8,8,0,0,10,0,0,13,0,23,57,0,13,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,0,0,0,0,0,0,0,0,0,0
"GNZuC",0,2,27,0,0,0,0,0,0,0,0,115,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hEdHx",0,28,0,0,15,18,0,0,5,0,0,139,13,0,0,11,0,0,107,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,14,0,0,0,0,0,0,0,0,0
"Hq5sT",0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,42,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HtRms",0,0,0,0,0,0,26,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"huqmO",0,33,13,0,0,0,27,0,0,0,0,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"IBsVs",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHp52",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
