"","site","sr","Habitat_type","longs","lats","mfd.obs","ses_mfd","p_value","perc_tree_250","perc_grass_250","perc_urb_250"
"1","0buhG",3,"Garden",-79.336427,43.684835,0.206807267468844,-1.35765449268236,0.1054,18.3009305371362,16.9673991000956,64.7316703627682
"2","0i6Rd",4,"Garden",-79.307809,43.733075,0.259800938967136,-0.746446581720209,0.1956,31.952920182415,19.643761979247,48.403317838338
"3","1Gg23",6,"Park",-79.495825,43.776218,0.316271713562452,-0.11134067794777,0.383,29.5331398782774,33.2191190335563,37.2477410881664
"4","1wIAO",5,"Garden",-79.4336,43.667507,0.286493509957047,-0.482711360207444,0.2646,17.2843401251733,21.4581300305963,61.2575298442304
"5","1WsN2",6,"Community",-79.506704,43.68624,0.299576759437189,-0.321413939085214,0.313,51.752338592184,24.135849361268,24.111812046548
"6","2DMIj",5,"Garden",-79.554043,43.671485,0.286870265182008,-0.469754726468417,0.2598,39.13726151978,27.1591849162923,33.7035535639276
"7","2GiFE",7,"Roof",-79.505036,43.773897,0.157922438107402,-1.88166448298811,0.0544,21.4469698226827,17.7612328320067,0
"8","2IVbG",7,"Park",-79.465138,43.642636,0.262489530387098,-0.713581019433651,0.2058,79.030577105506,17.4186841318727,0
"9","2MKAc",4,"Garden",-79.507732,43.628431,0.103841622513911,-2.48592761426692,0.0224,23.0354401263452,44.9053786596181,31.3230845988338
"10","6FUNv",9,"Park",-79.36527,43.685403,0.234892939495895,-1.02968627879357,0.145,40.8698392215412,32.9563955015042,26.1737652769546
"11","6JWfP",3,"Garden",-79.414219,43.681163,0.239492460301978,-0.992034028487147,0.1542,66.9036639188193,11.4562123730175,21.6401237081632
"12","6KpHa",7,"Park",-79.371881,43.728392,0.427020964952955,1.15147576467485,0.8984,90.8779304052981,7.02503148789055,1.950771776508
"13","7zNYj",6,"Garden",-79.437701,43.641064,0.362613463180988,0.380271886261336,0.6068,18.7650068144007,17.1957686515558,64.0392245340436
"14","8J98D",4,"Community",-79.397843,43.711515,0.309200314342804,-0.221263690447164,0.3334,21.6543218029004,17.5821676333447,60.0695934816184
"15","98vV9",9,"Garden",-79.406755,43.665426,0.214979963692188,-1.3257840553533,0.111,26.0005319295285,14.0009354622743,59.9985326081972
"16","9PF5p",6,"Garden",-79.370652,43.660279,0.326939288072183,-0.0259486742900636,0.424,25.3897198713562,14.3348297744697,60.275450354174
"17","A3kcA",7,"Roof",-79.36489,43.684797,0.0670147021107439,-3.00289366209447,0.0112,40.8101634112625,30.0326746360282,29.1571619527094
"18","a6qJm",11,"Park",-79.49993,43.73702,0.459478706434699,1.46840376316823,0.9504,41.8369948621814,32.4561194336477,25.706885704171
"19","AcIS2",3,"Garden",-79.342113,43.673527,0.312474849094567,-0.206588375913429,0.3472,31.8671078794638,15.7526909333705,52.3802011871657
"20","AZjsh",9,"Park",-79.358517,43.734428,0.398584942438267,0.80958716964636,0.7922,50.5061145126745,17.042785908119,32.4510995792064
"21","b1KH7",3,"Garden",-79.354461,43.679111,0.287154695485935,-0.471468418157867,0.2644,36.6483666652604,16.6631509630888,46.5103737712616
"22","B3wLW",3,"Park",-79.345825,43.71042,0.239118340998371,-0.98634914562008,0.156,31.488767703226,21.6323745480759,46.8788577486981
"23","BeXKd",8,"Park",-79.51065,43.663141,0.230033595392209,-1.11378696316187,0.1302,66.6487019656095,17.9778525742061,15.3734454601845
"24","BFBTl",2,"Garden",-79.30184,43.671931,0.255866829905657,-0.831884523853036,0.1852,48.4100372360915,13.6032797109159,37.9866830529926
"25","BQDxR",7,"Park",-79.306211,43.698117,0.325735925902094,-0.0305509739999855,0.4214,71.8584512325536,13.9969440668857,14.1446047005607
"26","BW4HD",5,"Garden",-79.50165,43.596019,0.133215419250999,-2.09659866896657,0.0406,31.2274605586005,24.8871803910707,43.1050642225449
"27","CAgNl",5,"Garden",-79.537963,43.588936,0.226406318534042,-1.1522479855679,0.1238,46.9649936050861,18.3368397498196,34.2109246628685
"28","cFdUw",3,"Garden",-79.437339,43.662834,0.248319944357503,-0.910186503071948,0.1586,13.6867148105824,14.8391972427,71.4740879467176
"29","Ci7F8",2,"Park",-79.488513,43.6139,0.254263033611897,-0.854308581468489,0.1812,21.1198324543328,17.3956715871222,61.484495958545
"30","D1rgw",6,"Community",-79.451969,43.666957,0.259051386748469,-0.775115612344482,0.184,9.81599931029549,15.1694636997144,75.0136198297384
"31","D8Tvb",5,"Garden",-79.445991,43.643792,0.373840707383632,0.513488893934254,0.6684,24.1514860802078,19.715165667264,56.1333482525282
"32","DQ8Sw",11,"Community",-79.311693,43.698988,0.429350822818858,1.11044814076199,0.8846,42.603723955515,37.9650129408463,17.7314357093987
"33","dqrON",10,"Community",-79.585999,43.731749,0.418830080673074,1.03763060325518,0.8642,26.9447710518061,31.4542149469795,41.6010140012143
"34","E3dsm",4,"Park",-79.238772,43.704891,0.248857543684196,-0.924709190865915,0.1628,46.4173918037966,36.7414778438299,9.36001263605296
"35","e8Lju",3,"Garden",-79.415969,43.661559,0.355345950704225,0.290596033128733,0.5692,18.4084630539342,19.9293400300103,61.2432265851717
"36","eLGzd",2,"Roof",-79.352898,43.677607,0.0988008909581149,-2.6111569245712,0.016,29.1330378892378,15.2173275027148,55.2185748246412
"37","Enp7x",6,"Park",-79.463149,43.783265,0.298762528893546,-0.351303999248325,0.3046,39.5093512983123,29.7229018238881,0
"38","ErRUg",4,"Garden",-79.404175,43.723462,0.266924717684807,-0.696876000939113,0.2016,50.5759629035867,10.0514698059702,39.3725672904431
"39","eTUNR",8,"Park",-79.19559,43.775594,0.328516639974577,0.00308886535355107,0.4288,57.4639361764667,21.2546626489345,19.4819552878753
"40","fJPzr",7,"Garden",-79.382383,43.707176,0.48956307360612,1.85316078489452,0.9902,41.5090705651448,20.6986811453308,37.7922482895244
"41","fLwK1",6,"Park",-79.322382,43.633207,0.254470734751474,-0.787966394713133,0.189,10.5947899951682,42.083286108841,0
"42","fn6iP",6,"Garden",-79.268659,43.764924,0.345450621423416,0.195080998251956,0.5236,34.0083950055588,16.6515008640838,49.1795790022125
"43","fqMOZ",5,"Garden",-79.519396,43.651335,0.260195038816614,-0.785205578774082,0.19,50.476099633318,19.2666726588023,30.2572277078797
"44","FTl5s",11,"Garden",-79.428666,43.682689,0.331765817403531,0.0182206344576755,0.443,33.1846354486708,15.7466290764284,51.0687354749008
"45","gbEGj",7,"Garden",-79.467402,43.661634,0.354675880120022,0.284905226259731,0.5626,42.8897980150067,14.1317947494909,42.9784072355024
"46","GDWGB",5,"Park",-79.503495,43.735575,0.240841477436045,-0.986121695299162,0.1524,53.3613499329546,26.6372926499533,20.0013574170921
"47","ggYQS",12,"Community",-79.450439,43.673641,0.359853110196323,0.358269312400406,0.5928,16.5751359204068,40.0851474397071,42.7228471014652
"48","GNZuC",4,"Community",-79.541744,43.640049,0.22620190309915,-1.18051830691407,0.1184,31.1432617556527,31.4936291828551,37.3631090614922
"49","hEdHx",12,"Community",-79.495762,43.765351,0.408242554371844,0.895586293229159,0.8208,18.3726851172483,43.9097672644029,37.6538975141608
"50","Hq5sT",4,"Park",-79.37414,43.726746,0.26654181785078,-0.733476480843244,0.2026,79.2004746007532,15.6876183738292,4.86355228346341
"51","HtRms",2,"Community",-79.433051,43.640415,0.27129085690182,-0.667779454443964,0.2132,22.7172423660447,18.382758917975,58.8999987159804
"52","huqmO",6,"Garden",-79.310561,43.735651,0.365004078873239,0.408284928211972,0.6142,34.5800344297256,21.580427178194,43.8395383920804
"53","IBsVs",2,"Roof",-79.294239,43.668743,0.384683098591549,0.634647716641006,0.7176,38.619890702428,11.1272853726044,42.4408578019583
"54","iMm0w",5,"Park",-79.192289,43.745528,0.255085189043618,-0.851623299654365,0.1734,78.4370041109492,13.5582446339585,0
"55","iO6vH",7,"Garden",-79.437662,43.647506,0.234262370872465,-1.08341169384509,0.1362,14.2903262492525,16.4414141747651,69.1044562573601
"56","J64gf",5,"Park",-79.36118,43.64742,0.182830520311954,-1.67254555615157,0.0698,4.55008362612269,19.1141506366944,66.9040316800038
"57","jXk3i",5,"Garden",-79.433771,43.666052,0.276971020263645,-0.608692723633307,0.2306,18.323761237506,23.0192548623251,57.9118829116536
"58","L8NdO",6,"Garden",-79.483896,43.641172,0.301984731282305,-0.332773420541452,0.3104,74.9007117489876,11.0052416380485,10.3027742089914
"59","l9qwa",5,"Roof",-79.411099,43.654398,0.402263118879482,0.811156752050231,0.791,6.79039633726913,11.7149423937986,81.4946612689323
"60","LeJL9",4,"Roof",-79.40692,43.665397,0.251195666059851,-0.899849728207739,0.17,26.3188305839926,14.1455459946695,59.5356234213379
"61","lm8Vb",4,"Roof",-79.394589,43.647675,0.429891540601634,1.13158106901657,0.8912,1.54565206221511,1.72933931310877,96.7250086246761
"62","LqLKT",5,"Garden",-79.397226,43.779792,0.304584617585476,-0.296779363219307,0.3258,40.37336581375,21.5075144593496,38.1191197269004
"63","lvTbU",6,"Park",-79.366545,43.684714,0.35039475743349,0.223799099603041,0.539,50.7466984280722,22.6574872714422,26.5958143004856
"64","Lwe2a",4,"Garden",-79.499345,43.599638,0.203153255955486,-1.43789949395307,0.0902,28.1211417665606,23.8419765960482,46.2232967205938
"65","LXbGC",5,"Garden",-79.475274,43.655197,0.423338086969582,1.06612727289273,0.8716,38.2723749112634,18.5072814420906,42.9318007972074
