"","site","sr","Habitat_type","longs","lats","mfd.obs","ses_mfd","p_value","perc_tree_250","perc_grass_250","perc_urb_250"
"66","LYkor",9,"Garden",-79.328172,43.704026,0.335389045383412,0.0508678501038011,0.4584,58.1420175650987,17.5948141137109,24.2631683211904
"67","m1Tjg",7,"Garden",-79.422529,43.661942,0.230328557444018,-1.14844900728159,0.1234,15.3155252088122,21.1235592278213,63.5609155633665
"68","m9rCB",4,"Park",-79.301671,43.697165,0.234725319435855,-1.09304107128976,0.1326,59.1435127862249,20.6771627256001,20.179324488175
"69","mngaK",2,"Roof",-79.393464,43.646068,0.0634229250938155,-2.9738147829248,0.0106,3.67369267427644,3.56648517268852,92.759822153035
"70","MR9ay",6,"Garden",-79.318068,43.744922,0.219440373194796,-1.22975715006293,0.1158,42.4357038958276,20.2807182307268,36.6558872137835
"71","N0NrL",5,"Garden",-79.43082,43.698008,0.411394239729492,0.90918294794421,0.817,33.8026410493691,17.1721455955581,49.0252133550728
"72","nj3Tv",9,"Park",-79.459602,43.652127,0.349044695225833,0.197113216026189,0.5174,71.3340185838446,13.2859005665442,15.3800808496111
"73","nSPob",4,"Park",-79.226539,43.715551,0.238808775731311,-1.04449472979841,0.1396,64.3377267596229,16.4144023827316,0
"74","NTp7f",4,"Roof",-79.427165,43.635537,0.146747710746729,-2.1142866554414,0.0406,14.575422613662,15.7321847075427,69.6923926787953
"75","oemYW",6,"Garden",-79.388104,43.718698,0.357532194554772,0.310072583644531,0.5784,65.0560750749319,12.9172612911391,22.026663633929
"76","ov9ky",10,"Park",-79.198579,43.780568,0.478474447875998,1.67181387410854,0.98,93.2010998868195,5.05606744602832,0
"77","OxeKC",8,"Garden",-79.373587,43.683403,0.342205032276995,0.15762279576094,0.5038,59.5430783058495,16.9574628097658,23.4994588843847
"78","p4hhS",4,"Park",-79.371031,43.729088,0.189651836665868,-1.66130402041673,0.0676,86.0641723840615,7.37636056803024,6.55946704790821
"79","P4Wxh",6,"Garden",-79.341228,43.673507,0.24037284334201,-1.04566454287929,0.1444,30.0908363844478,15.4119187902178,54.3873680194293
"80","P5vps",11,"Park",-79.468104,43.647068,0.423526639199968,1.04469421402875,0.8662,80.7796121645454,14.0870022174538,4.26829996536473
"81","P9Lc3",9,"Garden",-79.429518,43.684187,0.415386903147279,0.943404200599253,0.8384,35.1603056795794,18.4754175945527,46.1215894457631
"82","phL7O",6,"Park",-79.506589,43.663629,0.352375069517195,0.223244160229672,0.533,58.4234036420196,23.076893314323,18.4381837492334
"83","Q19Ql",7,"Garden",-79.402779,43.759497,0.405164035118507,0.849049920746844,0.8008,35.3416792772963,15.2099784472876,49.4483422754162
"84","Q1kCz",12,"Park",-79.357431,43.734283,0.430026127560387,1.11271041382535,0.8822,45.9696893460971,16.4986108076047,37.5316998462982
"85","Q2diL",5,"Garden",-79.415636,43.647781,0.30730633031204,-0.270980693551839,0.3372,27.0635604879391,38.431440887829,33.2737778593048
"86","QiOKk",10,"Garden",-79.416581,43.728516,0.442899917754703,1.27404616685047,0.9158,36.3933518107163,10.6458340594052,52.9608141298785
"87","QKrAU",8,"Park",-79.466988,43.784293,0.310197296747989,-0.2556481899357,0.3362,36.4550798934381,29.8772895038,32.2301274523897
"88","qKZQ3",5,"Garden",-79.46341,43.661947,0.349539482014467,0.200547438735259,0.5238,35.1038655141545,15.2991590965792,49.5969753892664
"89","QM7IH",8,"Garden",-79.307161,43.692936,0.350731247526784,0.223407884475432,0.5282,28.373269547895,16.5206241825809,55.106106269524
"90","QMw74",2,"Roof",-79.372069,43.666064,0.186591549295775,-1.67690161193659,0.065,23.9016385016686,15.3752253261033,60.7231361722281
"91","QVf8L",4,"Park",-79.468735,43.648423,0.3846195745904,0.604520878515503,0.7066,76.6671562037529,17.8178319532153,4.14261345021973
"92","QYeyE",6,"Park",-79.46248,43.771079,0.289266179007329,-0.468220569622236,0.2622,31.6997520295283,41.3439836605656,21.1413160088976
"93","r2ykG",5,"Garden",-79.362334,43.776127,0.183804883101382,-1.68251052673023,0.0706,48.5255434284142,19.6366137760249,31.8378427955609
"94","RYvED",6,"Park",-79.379041,43.729088,0.193518016411569,-1.58590135675448,0.0772,65.2165771032113,9.81036537116357,24.9730575256252
"95","rZ0ul",5,"Garden",-79.402496,43.741312,0.2942659365196,-0.424403315746958,0.2784,71.6670274077634,10.8602024307836,17.472770161453
"96","SAk6r",7,"Garden",-79.457455,43.658471,0.326298571452496,-0.0775659977669874,0.402,43.7723346957345,18.2506108791523,37.9770544251132
"97","sS0ji",8,"Roof",-79.3642,43.66613,0.290558449766655,-0.457632439698705,0.2734,43.3606339365146,16.5784670696028,40.0608989938826
"98","SVCEa",3,"Park",-79.42195,43.66393,0.290526512833244,-0.469385466809817,0.264,17.7181603231119,34.3037730120615,46.2484244615569
"99","TbUBp",2,"Garden",-79.437009,43.681518,0.0437550925387033,-3.27604260041842,0.006,19.3174832976441,15.2239611143834,65.4585555879725
"100","To1zd",9,"Community",-79.359048,43.734052,0.392969703937913,0.676458003078208,0.7368,56.8932533174433,16.452637074562,26.6541096079947
"101","trOmx",11,"Garden",-79.402135,43.729048,0.415531501767809,0.943122437853008,0.8358,36.4459135232701,8.8833818814155,54.6707045953144
"102","TrRF4",11,"Garden",-79.507508,43.639187,0.43657295369236,1.16500419217258,0.898,40.4113805076187,26.6044613830877,32.9841581092936
"103","TUJhp",8,"Park",-79.43208,43.656705,0.238792008605484,-1.04776483713596,0.1418,40.6515801580066,20.2393028191362,39.1091170228572
"104","twed3",3,"Garden",-79.433319,43.680842,0.143328592263329,-2.18288159487529,0.0374,23.4176228056816,12.2013919598082,64.3809852345102
"105","U3mPy",6,"Park",-79.380662,43.727064,0.371702206960228,0.442316684764059,0.6346,65.2112823315987,8.72882086537985,26.0598968030214
"106","U5Lyc",6,"Park",-79.525874,43.602368,0.391091408407354,0.653662048117314,0.7354,11.5808688632861,12.3257136567109,76.0934174800029
"107","uijTr",4,"Roof",-79.358336,43.734052,0.301067799484182,-0.333742326136994,0.3062,52.1329584698486,16.1032645591664,31.763776970985
"108","uISKe",10,"Garden",-79.320933,43.681928,0.385579856416851,0.63087770199326,0.715,27.8140775416765,14.9440889880254,57.0411554942475
"109","uIvCn",9,"Garden",-79.344076,43.680841,0.31784870391128,-0.16402591643981,0.3646,28.1328417345367,11.8528505392912,60.0143077261721
"110","UizNm",3,"Garden",-79.44395,43.673577,0.359859154929577,0.331111808656318,0.58,10.7063521616867,17.4094245101834,71.5624787903579
"111","UtY7R",11,"Garden",-79.511313,43.694826,0.377686808869747,0.524021559653531,0.6726,46.5549292930493,32.8174091737888,20.6276615331619
"112","v8EUT",7,"Garden",-79.296359,43.68358,0.386481324614982,0.620325855359644,0.7092,31.5929690653554,16.684708818025,51.7223221166196
"113","vDe7G",6,"Garden",-79.523356,43.67922,0.476606060337546,1.6587943060721,0.9756,43.9067432982523,16.899612745107,39.1936439566407
"114","VF2Pq",6,"Garden",-79.434195,43.671282,0.404169493960289,0.837258824354352,0.8038,9.25466328419207,17.4010341861058,72.7883220247889
"115","vLXXi",2,"Roof",-79.38457,43.66125,0.0131240062597809,-3.63802070391342,0.0012,1.76784173151697,3.11870320243048,95.1134550660526
"116","vnlxz",5,"Park",-79.509251,43.664418,0.363681290570511,0.389717736548732,0.6108,66.8925625427667,26.4288775763409,0
"117","VNQ0u",8,"Garden",-79.351547,43.673467,0.307654641906802,-0.273558857272769,0.333,48.8671465152282,13.8838751806769,37.2489783040949
"118","vtkfe",5,"Park",-79.254155,43.696763,0.298601130593082,-0.367958510067389,0.2998,61.4949723479135,22.4069884364002,14.6515837104072
"119","w4NX6",9,"Park",-79.45697,43.643704,0.383071297659001,0.584799947880455,0.6908,64.1030504893838,18.5320531060019,17.3648964046143
"120","WfPqj",5,"Community",-79.43187,43.640617,0.252967705642137,-0.908029120799906,0.1666,23.1562902391513,15.6482836798257,61.1954260810231
"121","wiATg",4,"Community",-79.428284,43.686392,0.142147644956808,-2.17320922389585,0.0362,33.7072241951105,20.3484063628093,45.6690414697855
"122","WJHmh",13,"Park",-79.366564,43.683969,0.404615289392606,0.824621234796856,0.7974,52.6893679050762,18.2290919252876,29.0815401696362
"123","wk3yD",6,"Garden",-79.430908,43.636688,0.417079451987388,0.978024312913117,0.847,23.022369304486,22.3045483396377,54.6730823558763
"124","x6lwo",4,"Park",-79.43208,43.656705,0.3944526549881,0.725552295555253,0.7556,40.6515801580066,20.2393028191362,39.1091170228572
"125","xomGl",7,"Community",-79.402302,43.639597,0.340472354214573,0.115898119013626,0.4808,3.9091541578017,33.4970178816955,62.5938279605028
"126","XvuFi",6,"Park",-79.325937,43.632304,0.244278718471374,-0.969640325205375,0.1552,34.060172972251,40.7397513384757,0
"127","YFmep",6,"Park",-79.19914,43.774686,0.380038443004956,0.550130018270159,0.6826,85.171869862692,8.50522929028824,3.03189240813515
"128","YgefT",10,"Garden",-79.427657,43.655885,0.380275504840835,0.568192723347771,0.6984,34.4707725268356,19.829888548935,45.6993389242294
"129","yjMQ9",5,"Garden",-79.433089,43.668602,0.401844445732465,0.812843045249394,0.7902,13.8891691261306,18.9376583213035,66.7703646365466
"130","yLOw6",8,"Garden",-79.4561,43.66026,0.419625406124726,1.01725046318999,0.8604,36.2991536709112,15.5908712383845,47.3126208320952
"131","yOqkX",4,"Garden",-79.446435,43.6511,0.401348983372934,0.8091927893022,0.7916,19.8127172507406,14.2397255876661,65.9475571615933
"132","Z4sxV",3,"Garden",-79.308092,43.679882,0.187106507982996,-1.64592185084066,0.0694,45.19115418903,16.3995289473588,38.4093168636112
"133","zAo4O",7,"Garden",-79.3187,43.756158,0.317506599522034,-0.163144307997451,0.3672,27.3670724365281,31.6572076768329,40.975719886639
"134","zAXNf",9,"Garden",-79.44611,43.676736,0.354654578931634,0.253288435584105,0.5448,6.10584665954957,13.2847609718875,80.609392368563
"135","zIOo4",3,"Roof",-79.395517,43.660003,0.249902190923318,-0.907045814755731,0.1682,8.81576051067576,18.9261868075427,72.2580526817815
"136","zUUAk",8,"Garden",-79.429956,43.673431,0.310099249738633,-0.213445979710394,0.3444,11.3566202164092,16.9700882842264,71.6635697790235
