"","site","perc_tree_500","perc_grass_500","perc_earth_500","perc_build_500","perc_roads_500","perc_paved_500","perc_urb_500"
"1","GNZuC",30.8572675959709,25.4065476878374,0,14.9746670115328,15.1004147566034,13.6611029480555,43.7361847161917
"2","twed3",25.9275429581948,16.6372084832231,0.0546207002823216,27.1998246267356,18.9785149406648,11.2022882908995,57.3806278582999
"3","CAgNl",42.9713839808538,19.7963039249484,1.01032854968444,16.0672482050427,11.8817524807063,8.27298285876433,36.2219835445133
"4","UizNm",12.4354194798333,17.4497666294839,0.352394983267774,31.1581745728879,23.3010919978865,15.3031523366406,69.762418907415
"5","vDe7G",45.7186656563006,25.2555424876655,0.310999473410921,13.4228381866988,8.5240460389309,6.76790815699327,28.7147923826229
"6","N0NrL",38.6433377826093,19.2225692963264,0.126460348694803,18.9082302431506,16.8122084462853,6.28719388293359,42.0076325723695
"7","TbUBp",20.6098604610207,17.8486158463374,0.0268749891078329,27.91247375561,19.8332833440191,13.7688916039049,61.514648703534
"8","fn6iP",26.4194616497616,16.5777291187507,0.502416711250347,21.1146471638345,12.3853923639646,23.0003529924382,56.5003925202373
"9","oemYW",65.2370523025619,13.6368472268462,0,11.7028438205349,5.4035066479934,4.0197500020636,21.1261004705919
"10","m1Tjg",16.7926487069974,22.4248949690713,0.787100907713222,29.6975696710515,18.5570398029815,11.740745942185,59.995355416218
"11","TrRF4",36.6922687062293,27.6516771102101,0,17.4507464061924,11.7705492075194,6.43475856984888,35.6560541835606
"12","6JWfP",44.7546788248367,16.9624547073607,0,17.4338468257762,12.2504145039212,8.59860513810527,38.2828664678027
"13","uISKe",31.7971350652078,15.8342287114397,0.050168688776659,24.3996839464323,15.662994813915,12.2557887742285,52.3184675345758
"14","FTl5s",29.6975161680459,16.0222915169413,0.0981479842284445,25.9723415311361,18.1718240986323,10.037878701016,54.1820443307844
"15","LqLKT",40.5112486535046,20.24519171022,0.12487039480231,20.0974842031843,10.6945554581845,8.32664958010438,39.1186892414731
"16","trOmx",44.7339217141122,9.2504886104021,0,23.7571044548612,13.3425720671682,8.91591315345623,46.0155896754857
"17","QiOKk",40.3320288317175,11.6858061847501,0,23.3539112578153,13.8950516679858,10.7332020577313,47.9821649835325
"18","Ci7F8",22.5243531568144,24.9462199170099,0.0971068281202901,21.5439860855152,13.9283394045904,16.9599946079499,52.4323200980554
"19","E3dsm",42.4363225149525,32.0529290235581,4.59936241838839,2.39206394217136,3.94475299720346,14.5745691037261,20.911386043101
"20","nSPob",56.8522720625604,20.0272114218082,8.20201783859874,2.30590591168519,2.21725228452117,10.3953404808263,14.9184986770326
"21","eLGzd",31.6121631480657,16.2202379586761,0.126871527092692,26.7763160913475,15.6311686404787,9.63324263433928,52.0407273661655
"22","D8Tvb",27.4599181349517,18.0012308188981,0,29.7024940132859,14.0350957644972,10.8012612683671,54.5388510461502
"23","yjMQ9",12.1359227753193,18.8137940522321,0.365212207369362,31.4076536812418,21.8990209341251,15.3783963497122,68.6850709650792
"24","0i6Rd",33.0002155755638,22.9616871769233,0.216813976635278,18.5122075396407,13.6349250760248,11.6741506552121,43.8212832708776
"25","zUUAk",19.8510006736428,16.9567213177902,0.258359659207376,28.3924608872183,20.483738795358,14.0577186667835,62.9339183493597
"26","SVCEa",15.4898875517419,22.6714195617189,0.755392678424054,29.9964839837657,18.7321502504817,12.3546659738676,61.0833002081151
"27","bYWzV",20.3237264911486,35.8693299484378,0.00073372012612649,19.1578910682415,14.5966281891604,10.0516905828856,43.8062098402875
"28","gbEGj",38.3491307593955,14.7241213579855,4.5860536274767e-05,24.633299151947,11.9555666436141,10.3378362265217,46.9267020220828
"29","SAk6r",29.9256059405095,16.0319680117936,0.383100261932814,22.4152894961132,15.6338136123367,15.6102226773141,53.659325785764
"30","cYKSV",46.4310059715204,22.7139641708774,0.163022508038585,10.2085898024805,15.0877354157097,5.39568213137345,30.6920073495636
"31","BW4HD",32.8654471370055,24.1601859012919,0.599560310503853,19.5031651914869,13.4928818996878,9.37875956002406,42.3748066511988
"32","HtRms",17.9251383100493,16.5754230012914,0.0983670609297957,29.3563079654849,16.8152643666354,19.2294992956093,65.4010716277295
"33","P3KiK",23.1368328175703,14.2061223853383,0,32.8338503192717,19.3964655404872,10.4267289373325,62.6570447970914
"34","dqrON",33.6015919171594,36.0801917131579,0.0344797822251386,11.5562957854847,8.77768011857704,9.94976068339578,30.2837365874575
"35","tdjbt",31.8339579654397,26.3030820242536,0,16.6069157381137,13.6325109629473,11.6235333092457,41.8629600103067
"36","IBsVs",42.3931314923387,12.8280723725324,8.23446901505918,19.3751079338693,9.98228331538059,7.18693587081978,36.5443271200697
"37","BliwX",13.4371168943267,16.2651677168702,0.184876793903423,32.0897223454174,19.9724725746215,18.0506436748608,70.1128385948997
"38","iO6vH",15.0362809025144,17.3360434325192,0.488056332395622,28.3369854243504,18.6042928044482,20.1983411037723,67.1396193325708
"39","a6qJm",52.6832382103613,20.7849273118642,0.0134361389030791,10.5199006184292,7.5871996243384,8.4112980961037,26.5183983388713
